;OBJECTID_1;LAN_ew_AGS;LAN_ew_GEN;LAN_ew_BEZ;LAN_ew_EWZ;OBJECTID;Fallzahl;Aktualisierung;AGS_TXT;GlobalID;faelle_100000_EW;Shape__Area;Shape__Length;Death;cases7_bl_per_100k;cases7_bl;death7_bl;cases7_bl_per_100k_txt;AdmUnitId
0;1;01;Schleswig-Holstein;Land;2910875;15;830254;1656453600000;01;fc5ba936-c95c-432c-8a33-9eb2f30b660f;28522.4889423283;45737314116.8701;2881496.1295035;2606;989.118392236011;28792;4;989,1;1
1;2;02;Hamburg;Freie und Hansestadt;1852478;6;630954;1656453600000;02;0f3e860c-5181-4d3f-a421-1d51f50315ea;34059.9996329241;2089396054.82129;418800.187474072;2723;687.295611607803;12732;3;687,3;2
2;3;03;Niedersachsen;Land;8003421;9;2613059;1656453600000;03;3fd77024-c29b-4843-9be8-682ad48e60c9;32649.2758534132;129983613598.973;4008988.2951652;9678;917.770038587249;73453;6;917,8;3
3;4;04;Bremen;Freie Hansestadt;680130;5;216094;1656453600000;04;4132268b-54de-4327-ac1e-760e915112f1;31772.455265905;1119156745.43408;335717.737774516;790;779.703880140561;5303;2;779,7;4
4;5;05;Nordrhein-Westfalen;Land;17925570;10;5715015;1656453600000;05;561d658f-3ee5-46e3-bc95-3528c6558ab9;31881.9150520737;87829361998.0295;2648672.50917441;25737;774.039542396699;138751;12;774,0;5
5;6;06;Hessen;Land;6293154;7;2023558;1656453600000;06;93277ac4-e8fc-48c7-8940-028dc2ed66af;32154.909922751;52359125900.6655;2148243.6201819;10344;786.966281136613;49525;7;787,0;6
6;7;07;Rheinland-Pfalz;Land;4098391;11;1241031;1656453600000;07;e9b4296f-9be2-4e53-9a58-ccf1396cb03d;30280.932199978;47838767393.1633;1774430.12830596;5750;617.998624338185;25328;5;618,0;7
7;8;08;Baden-Württemberg;Land;11103043;1;3845449;1656453600000;08;80394ddf-c6a4-4a6e-be8e-0259a81b22a9;34634.1899243298;81517323536.8628;2544320.39805124;16323;519.16398054119;57643;7;519,2;8
8;9;09;Bayern;Freistaat;13140183;2;5138327;1656453600000;09;1ff920f4-62cd-4a4f-b8c9-f042f2a3e00a;39103.9226774848;163485540875.077;3898617.90542911;24379;575.707355064994;75649;10;575,7;9
9;10;10;Saarland;Land;983991;12;338543;1656453600000;10;e3396a6f-8a30-4fdf-8df7-def77dd38bea;34405.0911034755;6060691818.01318;562678.876124348;1719;825.820561366923;8126;1;825,8;10
10;11;11;Berlin;Land;3664088;3;1099906;1656453600000;11;c7033073-2bb0-486b-97af-5b3c639e7219;30018.5475894684;2402458320.59863;363979.182407356;4641;429.547543617948;15739;1;429,5;11
11;12;12;Brandenburg;Land;2531071;4;821701;1656453600000;12;b560af89-5895-4be4-96f8-0f581cd8a858;32464.557493646;79801970800.2686;2571385.42188057;5716;409.233877674708;10358;1;409,2;12
12;13;13;Mecklenburg-Vorpommern;Land;1610774;8;512310;1656453600000;13;a27f5628-e790-45be-898d-f0a6841c0f7e;31805.2066894549;65873523064.0757;4131181.10875485;2256;567.118664691633;9135;1;567,1;13
13;14;14;Sachsen;Freistaat;4056941;13;1555262;1656453600000;14;256d2405-a7c8-4fec-93df-29f3c808cd25;38335.829877733;46626497892.9951;2048279.98573376;15598;329.114966177719;13352;2;329,1;14
14;15;15;Sachsen-Anhalt;Land;2180684;14;741658;1656453600000;15;66106bbe-f04b-4f92-80e1-5b5b30da25b5;34010.3380407248;54177007537.6553;1920386.52842308;5404;383.595238925035;8365;6;383,6;15
15;16;16;Thüringen;Freistaat;2120237;16;725069;1656453600000;16;3a3e2817-bb19-4f8c-8bca-d8ff591140d4;34197.5448971035;40685205073.9761;2015719.49965031;7358;243.369019595451;5160;1;243,4;16
